Number;x;y;Longitude;Latitude;Intensity;Temperature (C);Distance (km);1;69;524;137.8971;39.98587;559;22;0
96;62;619;137.8061;39.03355;533;19;106.1808;;;;;;;;
97;62;620;137.8061;39.02345;531;19;107.3002;;;;;;;;
98;62;621;137.8061;39.01336;498;16;108.4198;;;;;;;;
99;62;622;137.8061;39.00326;489;15;109.5397;;;;;;;;
100;62;623;137.8061;38.99316;482;14;110.6597;;;;;;;;
101;62;624;137.8061;38.98306;491;15;111.78;;;;;;;;
102;62;625;137.8061;38.97296;500;16;112.9005;;;;;;;;
103;62;626;137.8061;38.96286;498;16;114.0212;;;;;;;;
104;62;627;137.8061;38.95276;499;16;115.1421;;;;;;;;
105;62;628;137.8061;38.94265;495;15;116.2633;;;;;;;;
106;62;629;137.8061;38.93254;499;16;117.3846;;;;;;;;
107;62;630;137.8061;38.92244;510;17;118.5062;;;;;;;;
108;61;631;137.7931;38.91233;528;19;119.706;;;;;;;;
109;61;632;137.7931;38.90221;530;19;120.8273;;;;;;;;
110;61;633;137.7931;38.8921;540;20;121.9487;;;;;;;;
111;61;634;137.7931;38.88199;536;19;123.0704;;;;;;;;
112;61;635;137.7931;38.87187;518;18;124.1923;;;;;;;;
113;61;636;137.7931;38.86176;542;20;125.3144;;;;;;;;
114;61;637;137.7931;38.85164;539;20;126.4367;;;;;;;;
115;61;638;137.7931;38.84152;522;18;127.5592;;;;;;;;
116;61;639;137.7931;38.8314;542;20;128.6819;;;;;;;;
117;61;640;137.7931;38.82127;570;23;129.8049;;;;;;;;
118;61;641;137.7931;38.81115;572;23;130.928;;;;;;;;
119;61;642;137.7931;38.80102;572;23;132.0513;;;;;;;;
120;61;643;137.7931;38.7909;571;23;133.1749;;;;;;;;
121;60;644;137.7801;38.78077;571;23;134.3776;;;;;;;;
122;60;645;137.7801;38.77064;573;23;135.5009;;;;;;;;
123;60;646;137.7801;38.76051;573;23;136.6244;;;;;;;;
124;60;647;137.7801;38.75038;573;23;137.7482;;;;;;;;
125;60;648;137.7801;38.74024;571;23;138.8721;;;;;;;;
126;60;649;137.7801;38.73011;571;23;139.9962;;;;;;;;
127;60;650;137.7801;38.71997;571;23;141.1206;;;;;;;;
128;60;651;137.7801;38.70983;569;23;142.2451;;;;;;;;
129;60;652;137.7801;38.69969;570;23;143.3699;;;;;;;;
130;60;653;137.7801;38.68955;566;22;144.4948;;;;;;;;
131;60;654;137.7801;38.67941;555;21;145.62;;;;;;;;
132;60;655;137.7801;38.66926;540;20;146.7453;;;;;;;;
133;60;656;137.7801;38.65912;535;19;147.8709;;;;;;;;
134;60;657;137.7801;38.64897;526;18;148.9966;;;;;;;;
135;59;658;137.7671;38.63882;516;17;150.2017;;;;;;;;
136;59;659;137.7671;38.62867;519;18;151.3273;;;;;;;;
137;59;660;137.7671;38.61852;521;18;152.4531;;;;;;;;
138;59;661;137.7671;38.60837;512;17;153.579;;;;;;;;
139;59;662;137.7671;38.59821;517;17;154.7052;;;;;;;;
140;59;663;137.7671;38.58806;529;19;155.8316;;;;;;;;
141;59;664;137.7671;38.5779;525;18;156.9582;;;;;;;;
142;59;665;137.7671;38.56774;523;18;158.085;;;;;;;;
143;59;666;137.7671;38.55758;525;18;159.2119;;;;;;;;
144;59;667;137.7671;38.54742;525;18;160.3391;;;;;;;;
145;59;668;137.7671;38.53726;515;17;161.4665;;;;;;;;
146;59;669;137.7671;38.52709;504;16;162.5941;;;;;;;;
147;59;670;137.7671;38.51693;502;16;163.7218;;;;;;;;
148;58;671;137.7541;38.50676;516;17;164.9296;;;;;;;;
149;58;672;137.7541;38.49659;525;18;166.0572;;;;;;;;
150;58;673;137.7541;38.48642;523;18;167.1851;;;;;;;;
151;58;674;137.7541;38.47625;512;17;168.3131;;;;;;;;
152;58;675;137.7541;38.46608;518;18;169.4413;;;;;;;;
153;58;676;137.7541;38.4559;520;18;170.5697;;;;;;;;
154;58;677;137.7541;38.44573;517;17;171.6984;;;;;;;;
155;58;678;137.7541;38.43555;520;18;172.8272;;;;;;;;
156;58;679;137.7541;38.42537;506;16;173.9562;;;;;;;;
157;58;680;137.7541;38.41519;514;17;175.0854;;;;;;;;
158;58;681;137.7541;38.40501;507;16;176.2148;;;;;;;;
159;58;682;137.7541;38.39483;491;15;177.3444;;;;;;;;
160;58;683;137.7541;38.38464;497;15;178.4742;;;;;;;;
161;58;684;137.7541;38.37446;495;15;179.6042;;;;;;;;
162;57;685;137.7411;38.36427;528;19;180.8142;;;;;;;;
163;57;686;137.7411;38.35408;534;19;181.9441;;;;;;;;
164;57;687;137.7411;38.34389;554;21;183.0742;;;;;;;;
165;57;688;137.7411;38.3337;544;20;184.2045;;;;;;;;
166;57;689;137.7411;38.32351;554;21;185.3349;;;;;;;;
167;57;690;137.7411;38.31331;537;19;186.4656;;;;;;;;
168;57;691;137.7411;38.30312;541;20;187.5965;;;;;;;;
169;57;692;137.7411;38.29292;545;20;188.7275;;;;;;;;
170;57;693;137.7411;38.28272;538;20;189.8588;;;;;;;;
171;57;694;137.7411;38.27252;526;18;190.9902;;;;;;;;
172;57;695;137.7411;38.26232;508;17;192.1218;;;;;;;;
173;57;696;137.7411;38.25212;487;14;193.2536;;;;;;;;
174;57;697;137.7411;38.24191;492;15;194.3856;;;;;;;;
175;56;698;137.7281;38.23171;515;17;195.5983;;;;;;;;
176;56;699;137.7281;38.2215;489;15;196.7302;;;;;;;;
177;56;700;137.7281;38.21129;495;15;197.8623;;;;;;;;
178;56;701;137.7281;38.20108;486;14;198.9947;;;;;;;;
179;56;702;137.7281;38.19087;481;14;200.1272;;;;;;;;
180;56;703;137.7281;38.18065;484;14;201.2599;;;;;;;;
181;56;704;137.7281;38.17044;483;14;202.3928;;;;;;;;
182;56;705;137.7281;38.16022;483;14;203.5259;;;;;;;;
183;56;706;137.7281;38.15001;486;14;204.6592;;;;;;;;
184;56;707;137.7281;38.13979;483;14;205.7926;;;;;;;;
185;56;708;137.7281;38.12957;480;14;206.9263;;;;;;;;
186;56;709;137.7281;38.11935;481;14;208.0602;;;;;;;;
187;56;710;137.7281;38.10912;482;14;209.1942;;;;;;;;
188;56;711;137.7281;38.0989;479;14;210.3284;;;;;;;;
189;55;712;137.7151;38.08867;483;14;211.5433;;;;;;;;
190;55;713;137.7151;38.07845;481;14;212.6775;;;;;;;;
191;55;714;137.7151;38.06822;484;14;213.8119;;;;;;;;
192;55;715;137.7151;38.05799;487;14;214.9464;;;;;;;;
193;55;716;137.7151;38.04775;492;15;216.0812;;;;;;;;
194;55;717;137.7151;38.03752;482;14;217.2161;;;;;;;;
195;55;718;137.7151;38.02729;485;14;218.3513;;;;;;;;
196;55;719;137.7151;38.01705;486;14;219.4866;;;;;;;;
197;55;720;137.7151;38.00681;488;15;220.6221;;;;;;;;
198;55;721;137.7151;37.99658;500;16;221.7578;;;;;;;;
199;55;722;137.7151;37.98634;499;16;222.8937;;;;;;;;
200;55;723;137.7151;37.97609;495;15;224.0298;;;;;;;;
201;55;724;137.7151;37.96585;495;15;225.166;;;;;;;;
202;54;725;137.7021;37.95561;501;16;226.3834;;;;;;;;
203;54;726;137.7021;37.94536;496;15;227.5196;;;;;;;;
204;54;727;137.7021;37.93511;501;16;228.656;;;;;;;;
205;54;728;137.7021;37.92486;499;16;229.7926;;;;;;;;
206;54;729;137.7021;37.91461;496;15;230.9294;;;;;;;;
207;54;730;137.7021;37.90436;499;16;232.0664;;;;;;;;
208;54;731;137.7021;37.89411;498;16;233.2036;;;;;;;;
209;54;732;137.7021;37.88385;502;16;234.341;;;;;;;;
210;54;733;137.7021;37.8736;510;17;235.4785;;;;;;;;
211;54;734;137.7021;37.86334;512;17;236.6163;;;;;;;;
212;54;735;137.7021;37.85308;528;19;237.7542;;;;;;;;
213;54;736;137.7021;37.84282;552;21;238.8923;;;;;;;;
214;54;737;137.7021;37.83256;562;22;240.0306;;;;;;;;
215;54;738;137.7021;37.8223;575;23;241.1691;;;;;;;;
216;53;739;137.6891;37.81203;564;22;242.3887;;;;;;;;
217;53;740;137.6891;37.80177;572;23;243.5271;;;;;;;;
218;53;741;137.6891;37.7915;573;23;244.6658;;;;;;;;
219;53;742;137.6891;37.78123;580;24;245.8046;;;;;;;;
220;53;743;137.6891;37.77096;581;24;246.9437;;;;;;;;
221;53;744;137.6891;37.76069;580;24;248.0829;;;;;;;;
222;53;745;137.6891;37.75042;581;24;249.2223;;;;;;;;
223;53;746;137.6891;37.74014;582;24;250.3619;;;;;;;;
224;53;747;137.6891;37.72987;583;24;251.5017;;;;;;;;
225;53;748;137.6891;37.71959;586;24;252.6416;;;;;;;;
226;53;749;137.6891;37.70931;585;24;253.7818;;;;;;;;
227;53;750;137.6891;37.69903;584;24;254.9221;;;;;;;;
228;53;751;137.6891;37.68875;584;24;256.0626;;;;;;;;
229;52;752;137.6761;37.67846;579;24;257.2846;;;;;;;;
230;52;753;137.6761;37.66818;582;24;258.4251;;;;;;;;
231;52;754;137.6761;37.65789;586;24;259.5658;;;;;;;;
232;52;755;137.6761;37.64761;588;25;260.7067;;;;;;;;
233;52;756;137.6761;37.63732;586;24;261.8478;;;;;;;;
234;52;757;137.6761;37.62703;586;24;262.9891;;;;;;;;
235;52;758;137.6761;37.61674;582;24;264.1305;;;;;;;;
236;52;759;137.6761;37.60644;584;24;265.2722;;;;;;;;
237;52;760;137.6761;37.59615;591;25;266.414;;;;;;;;
238;52;761;137.6761;37.58585;592;25;267.556;;;;;;;;
239;52;762;137.6761;37.57556;588;25;268.6981;;;;;;;;
240;52;763;137.6761;37.56526;583;24;269.8405;;;;;;;;
241;52;764;137.6761;37.55496;586;24;270.983;;;;;;;;
242;51;765;137.6631;37.54466;569;23;272.2074;;;;;;;;
243;51;766;137.6631;37.53435;584;24;273.35;;;;;;;;
244;51;767;137.6631;37.52405;584;24;274.4928;;;;;;;;
245;51;768;137.6631;37.51374;566;22;275.6357;;;;;;;;
246;51;769;137.6631;37.50343;548;21;276.7788;;;;;;;;
247;51;770;137.6631;37.49313;521;18;277.9221;;;;;;;;
248;51;771;137.6631;37.48282;499;16;279.0656;;;;;;;;
249;51;772;137.6631;37.4725;506;16;280.2093;;;;;;;;
250;51;773;137.6631;37.46219;539;20;281.3531;;;;;;;;
251;51;774;137.6631;37.45188;553;21;282.4972;;;;;;;;
252;51;775;137.6631;37.44156;526;18;283.6414;;;;;;;;
253;51;776;137.6631;37.43124;557;21;284.7858;;;;;;;;
254;51;777;137.6631;37.42093;573;23;285.9304;;;;;;;;
255;51;778;137.6631;37.41061;579;24;287.0751;;;;;;;;
256;50;779;137.6501;37.40028;565;22;288.3017;;;;;;;;
257;50;780;137.6501;37.38996;581;24;289.4465;;;;;;;;
258;50;781;137.6501;37.37964;587;24;290.5915;;;;;;;;
259;50;782;137.6501;37.36931;581;24;291.7367;;;;;;;;
260;50;783;137.6501;37.35898;575;23;292.882;;;;;;;;
261;50;784;137.6501;37.34866;581;24;294.0275;;;;;;;;
262;50;785;137.6501;37.33833;592;25;295.1732;;;;;;;;
263;50;786;137.6501;37.32799;590;25;296.3191;;;;;;;;
264;50;787;137.6501;37.31766;590;25;297.4652;;;;;;;;
265;50;788;137.6501;37.30733;590;25;298.6115;;;;;;;;
266;50;789;137.6501;37.29699;590;25;299.7579;;;;;;;;
267;50;790;137.6501;37.28665;590;25;300.9045;;;;;;;;
268;50;791;137.6501;37.27632;586;24;302.0513;;;;;;;;
269;49;792;137.6371;37.26598;567;22;303.2802;;;;;;;;
270;49;793;137.6371;37.25563;573;23;304.4271;;;;;;;;
271;49;794;137.6371;37.24529;573;23;305.5741;;;;;;;;
272;49;795;137.6371;37.23495;587;24;306.7213;;;;;;;;
273;49;796;137.6371;37.2246;590;25;307.8687;;;;;;;;
274;49;797;137.6371;37.21425;589;25;309.0163;;;;;;;;
275;49;798;137.6371;37.20391;590;25;310.164;;;;;;;;
276;49;799;137.6371;37.19356;590;25;311.3119;;;;;;;;
277;49;800;137.6371;37.1832;591;25;312.46;;;;;;;;
278;49;801;137.6371;37.17285;590;25;313.6083;;;;;;;;
279;49;802;137.6371;37.1625;590;25;314.7568;;;;;;;;
280;49;803;137.6371;37.15214;589;25;315.9054;;;;;;;;
281;49;804;137.6371;37.14179;589;25;317.0542;;;;;;;;
282;49;805;137.6371;37.13143;590;25;318.2032;;;;;;;;
283;48;806;137.6241;37.12107;589;25;319.4344;;;;;;;;
284;48;807;137.6241;37.11071;588;25;320.5835;;;;;;;;
285;48;808;137.6241;37.10034;589;25;321.7327;;;;;;;;
286;48;809;137.6241;37.08998;589;25;322.8821;;;;;;;;
287;48;810;137.6241;37.07961;585;24;324.0317;;;;;;;;
288;48;811;137.6241;37.06925;588;25;325.1815;;;;;;;;
289;48;812;137.6241;37.05888;591;25;326.3315;;;;;;;;
290;48;813;137.6241;37.04851;591;25;327.4816;;;;;;;;
291;48;814;137.6241;37.03814;589;25;328.6319;;;;;;;;
292;48;815;137.6241;37.02776;587;24;329.7824;;;;;;;;
293;48;816;137.6241;37.01739;588;25;330.9331;;;;;;;;
294;48;817;137.6241;37.00702;588;25;332.0839;;;;;;;;
295;48;818;137.6241;36.99664;587;24;333.2349;;;;;;;;
296;47;819;137.6111;36.98626;584;24;334.4684;;;;;;;;
297;47;820;137.6111;36.97588;584;24;335.6195;;;;;;;;
298;47;821;137.6111;36.9655;582;24;336.7708;;;;;;;;
299;47;822;137.6111;36.95512;569;23;337.9223;;;;;;;;
300;47;823;137.6111;36.94473;557;21;339.0739;;;;;;;;
301;47;824;137.6111;36.93435;540;20;340.2257;;;;;;;;
302;47;825;137.6111;36.92396;519;18;341.3777;;;;;;;;
303;47;826;137.6111;36.91357;514;17;342.5299;;;;;;;;
304;47;827;137.6111;36.90318;506;16;343.6822;;;;;;;;
305;47;828;137.6111;36.89279;499;16;344.8348;;;;;;;;
306;47;829;137.6111;36.8824;499;16;345.9875;;;;;;;;
307;47;830;137.6111;36.87201;496;15;347.1403;;;;;;;;
308;47;831;137.6111;36.86161;503;16;348.2934;;;;;;;;
309;47;832;137.6111;36.85121;515;17;349.4466;;;;;;;;
310;46;833;137.5981;36.84082;507;16;350.6823;;;;;;;;
311;46;834;137.5981;36.83042;509;17;351.8356;;;;;;;;
312;46;835;137.5981;36.82002;517;17;352.9891;;;;;;;;
313;46;836;137.5981;36.80961;528;19;354.1428;;;;;;;;
314;46;837;137.5981;36.79921;532;19;355.2966;;;;;;;;
315;46;838;137.5981;36.7888;532;19;356.4507;;;;;;;;
316;46;839;137.5981;36.7784;546;20;357.6049;;;;;;;;
317;46;840;137.5981;36.76799;549;21;358.7592;;;;;;;;
318;46;841;137.5981;36.75758;533;19;359.9138;;;;;;;;
319;46;842;137.5981;36.74717;524;18;361.0685;;;;;;;;
320;46;843;137.5981;36.73676;536;19;362.2234;;;;;;;;
321;46;844;137.5981;36.72634;530;19;363.3785;;;;;;;;
322;46;845;137.5981;36.71593;500;16;364.5338;;;;;;;;
323;45;846;137.5851;36.70551;491;15;365.7717;;;;;;;;
324;45;847;137.5851;36.6951;489;15;366.9271;;;;;;;;
325;45;848;137.5851;36.68468;490;15;368.0826;;;;;;;;
326;45;849;137.5851;36.67426;482;14;369.2383;;;;;;;;
327;45;850;137.5851;36.66383;487;14;370.3942;;;;;;;;
328;45;851;137.5851;36.65341;495;15;371.5502;;;;;;;;
329;45;852;137.5851;36.64298;484;14;372.7065;;;;;;;;
330;45;853;137.5851;36.63256;476;13;373.8629;;;;;;;;
331;45;854;137.5851;36.62213;469;13;375.0195;;;;;;;;
332;45;855;137.5851;36.6117;446;10;376.1762;;;;;;;;
333;45;856;137.5851;36.60127;432;9;377.3331;;;;;;;;
334;45;857;137.5851;36.59084;447;10;378.4902;;;;;;;;
335;45;858;137.5851;36.58041;453;11;379.6475;;;;;;;;
336;45;859;137.5851;36.56997;435;9;380.805;;;;;;;;
337;44;860;137.5721;36.55953;426;8;382.0451;;;;;;;;
338;44;861;137.5721;36.5491;422;8;383.2027;;;;;;;;
339;44;862;137.5721;36.53866;441;10;384.3604;;;;;;;;
340;44;863;137.5721;36.52822;450;11;385.5184;;;;;;;;
341;44;864;137.5721;36.51778;463;12;386.6764;;;;;;;;
342;44;865;137.5721;36.50733;464;12;387.8347;;;;;;;;
343;44;866;137.5721;36.49689;468;13;388.9931;;;;;;;;
344;44;867;137.5721;36.48644;452;11;390.1517;;;;;;;;
345;44;868;137.5721;36.47599;426;8;391.3105;;;;;;;;
346;44;869;137.5721;36.46555;411;7;392.4695;;;;;;;;
347;44;870;137.5721;36.4551;396;5;393.6286;;;;;;;;
348;44;871;137.5721;36.44464;398;6;394.7879;;;;;;;;
349;44;872;137.5721;36.43419;393;5;395.9474;;;;;;;;
350;43;873;137.5591;36.42374;394;5;397.1898;;;;;;;;
351;43;874;137.5591;36.41328;393;5;398.3494;;;;;;;;
352;43;875;137.5591;36.40282;392;5;399.5091;;;;;;;;
353;43;876;137.5591;36.39236;392;5;400.6691;;;;;;;;
354;43;877;137.5591;36.3819;397;5;401.8292;;;;;;;;
355;43;878;137.5591;36.37144;406;6;402.9895;;;;;;;;
356;43;879;137.5591;36.36098;427;8;404.1499;;;;;;;;
357;43;880;137.5591;36.35052;429;9;405.3106;;;;;;;;
358;43;881;137.5591;36.34005;436;9;406.4714;;;;;;;;
359;43;882;137.5591;36.32958;438;10;407.6323;;;;;;;;
360;43;883;137.5591;36.31911;427;8;408.7935;;;;;;;;
361;43;884;137.5591;36.30864;406;6;409.9548;;;;;;;;
362;43;885;137.5591;36.29817;432;9;411.1163;;;;;;;;
363;42;886;137.5461;36.2877;450;11;412.361;;;;;;;;
364;42;887;137.5461;36.27723;436;9;413.5226;;;;;;;;
365;42;888;137.5461;36.26675;474;13;414.6844;;;;;;;;
366;42;889;137.5461;36.25627;472;13;415.8463;;;;;;;;
367;42;890;137.5461;36.24579;505;16;417.0085;;;;;;;;
368;42;891;137.5461;36.23531;497;15;418.1708;;;;;;;;
369;42;892;137.5461;36.22483;489;15;419.3332;;;;;;;;
370;42;893;137.5461;36.21435;465;12;420.4959;;;;;;;;
371;42;894;137.5461;36.20387;458;12;421.6587;;;;;;;;
372;42;895;137.5461;36.19338;463;12;422.8217;;;;;;;;
373;42;896;137.5461;36.18289;461;12;423.9849;;;;;;;;
374;42;897;137.5461;36.17241;450;11;425.1482;;;;;;;;
375;42;898;137.5461;36.16192;437;9;426.3117;;;;;;;;
376;42;899;137.5461;36.15143;435;9;427.4754;;;;;;;;
377;41;900;137.5331;36.14093;435;9;428.7223;;;;;;;;
378;41;901;137.5331;36.13044;435;9;429.8861;;;;;;;;
379;41;902;137.5331;36.11994;437;9;431.0501;;;;;;;;
380;41;903;137.5331;36.10945;435;9;432.2142;;;;;;;;
381;41;904;137.5331;36.09895;441;10;433.3785;;;;;;;;
382;41;905;137.5331;36.08845;433;9;434.543;;;;;;;;
383;41;906;137.5331;36.07795;437;9;435.7077;;;;;;;;
384;41;907;137.5331;36.06745;450;11;436.8726;;;;;;;;
385;41;908;137.5331;36.05694;464;12;438.0376;;;;;;;;
386;41;909;137.5331;36.04644;467;12;439.2027;;;;;;;;
387;41;910;137.5331;36.03593;462;12;440.3681;;;;;;;;
388;41;911;137.5331;36.02542;460;12;441.5336;;;;;;;;
389;41;912;137.5331;36.01491;465;12;442.6993;;;;;;;;
390;40;913;137.5201;36.0044;465;12;443.9484;;;;;;;;
391;40;914;137.5201;35.99389;462;12;445.1143;;;;;;;;
392;40;915;137.5201;35.98338;466;12;446.2803;;;;;;;;
393;40;916;137.5201;35.97286;467;12;447.4464;;;;;;;;
394;40;917;137.5201;35.96235;465;12;448.6128;;;;;;;;
395;40;918;137.5201;35.95183;464;12;449.7793;;;;;;;;
396;40;919;137.5201;35.94131;469;13;450.946;;;;;;;;
397;40;920;137.5201;35.93079;464;12;452.1128;;;;;;;;
398;40;921;137.5201;35.92027;467;12;453.2799;;;;;;;;
399;40;922;137.5201;35.90974;487;14;454.447;;;;;;;;
400;40;923;137.5201;35.89922;494;15;455.6144;;;;;;;;
401;40;924;137.5201;35.88869;495;15;456.782;;;;;;;;
402;40;925;137.5201;35.87817;493;15;457.9497;;;;;;;;
403;40;926;137.5201;35.86764;492;15;459.1175;;;;;;;;
404;39;927;137.5071;35.85711;483;14;460.3688;;;;;;;;
405;39;928;137.5071;35.84658;476;13;461.5369;;;;;;;;
406;39;929;137.5071;35.83604;469;13;462.705;;;;;;;;
407;39;930;137.5071;35.82551;478;14;463.8734;;;;;;;;
408;39;931;137.5071;35.81497;488;15;465.0419;;;;;;;;
409;39;932;137.5071;35.80443;486;14;466.2106;;;;;;;;
410;39;933;137.5071;35.7939;498;16;467.3795;;;;;;;;
411;39;934;137.5071;35.78336;488;15;468.5485;;;;;;;;
412;39;935;137.5071;35.77281;487;14;469.7177;;;;;;;;
413;39;936;137.5071;35.76227;477;13;470.8871;;;;;;;;
414;39;937;137.5071;35.75173;478;14;472.0567;;;;;;;;
415;39;938;137.5071;35.74118;473;13;473.2264;;;;;;;;
416;39;939;137.5071;35.73063;464;12;474.3963;;;;;;;;
417;38;940;137.4941;35.72009;462;12;475.6498;;;;;;;;
418;38;941;137.4941;35.70954;461;12;476.8198;;;;;;;;
419;38;942;137.4941;35.69899;462;12;477.99;;;;;;;;
420;38;943;137.4941;35.68843;463;12;479.1604;;;;;;;;
421;38;944;137.4941;35.67788;461;12;480.3309;;;;;;;;
422;38;945;137.4941;35.66732;457;11;481.5016;;;;;;;;
